group_id,size,child_present,coverage,majority_class,weighted_cascade,kmodes
0,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
1,3,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult
2,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
3,1,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult
4,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
5,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
6,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
7,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
8,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
9,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
10,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
11,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
12,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
13,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
14,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
15,3,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult
16,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
17,2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult
18,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
19,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
20,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
21,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
22,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
23,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
24,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
25,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
26,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
27,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
28,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
29,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
30,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
31,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
32,1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult
33,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
34,1,False,1.0,Neutral-Fallback,Casual-Adult,Casual-Adult
35,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
36,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
37,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
38,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
39,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
40,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
41,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
