track_id,has_attributes,Gender,Age,Body size,Viewpoint,Upper-body clothing,Lower-body clothing,Footwear,Head and accessories::Bald,Head and accessories::Long hair,Head and accessories::Black hair,Head and accessories::Hat,Head and accessories::Glasses,Head and accessories::Mask,Head and accessories::Helmet,Head and accessories::Scarf,Head and accessories::Gloves,Bags and carried objects::Backpack,Bags and carried objects::Shoulder bag,Bags and carried objects::Handbag,Bags and carried objects::Plastic bag,Bags and carried objects::Paper bag,Bags and carried objects::Suitcase,Bags and carried objects::Others,Activity::Making a phone call,Activity::Smoking,Activity::Hands behind back,Activity::Arms crossed,Posture and Movement::Walking,Posture and Movement::Running,Posture and Movement::Standing,Posture and Movement::Riding a bicycle,Posture and Movement::Riding an scooter,Posture and Movement::Riding a skateboard,cluster
1,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
2,True,Male/Unknown,Adult,Normal,Front,Jacket,Trousers,Casual shoes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
3,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
4,True,Male/Unknown,Adult,Normal,Front,Jacket,Trousers,Casual shoes,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
5,True,Female,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2
14,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
16,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
26,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
32,True,Male/Unknown,Adult,Normal,Back,Unknown,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
33,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
36,True,Female,Adult,Normal,Unknown,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
37,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
