group_id,member_track_ids,size,child_present,coverage,majority_class,weighted_cascade,kmodes,window_start_s,window_end_s
0,[62],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
1,[32],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
2,[49],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
3,[56],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,0.0,30.0
4,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
5,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
6,[28],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
7,[25],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
8,[36],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
9,[30],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
10,[14],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
11,[24],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
12,"[2, 33, 37]",3,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult,0.0,30.0
13,[31],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
14,[41],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
15,[58],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
16,[61],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
17,[26],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,0.0,30.0
18,[63],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
19,[60],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
20,[55],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
21,"[1, 16]",2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
22,[5],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
23,[59],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,0.0,30.0
24,[4],1,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult,0.0,30.0
25,"[45, 51, 53]",3,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,0.0,30.0
26,[64],1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback,0.0,30.0
27,[3],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,0.0,30.0
28,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,0.0,30.0
0,[62],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
1,[49],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
2,[76],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
3,[56],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,15.0,45.0
4,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
5,[89],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
6,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
7,[36],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
8,[79],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult,15.0,45.0
9,[81],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,15.0,45.0
10,[73],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
11,"[55, 64]",2,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult,15.0,45.0
12,[58],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
13,[41],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
14,[61],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
15,[83],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
16,[26],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,15.0,45.0
17,[63],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
18,[60],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
19,"[33, 37]",2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
20,[59],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
21,[5],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
22,[80],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
23,[87],1,False,1.0,Neutral-Fallback,Casual-Adult,Casual-Adult,15.0,45.0
24,[4],1,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult,15.0,45.0
